date,review_count,snapshot_date
2018-11-30,11872,"12 September, 2025"
2018-12-31,10472,"12 September, 2025"
2019-01-31,11385,"12 September, 2025"
2019-02-28,9357,"12 September, 2025"
2019-03-31,12739,"12 September, 2025"
2019-04-30,15191,"12 September, 2025"
2019-05-31,15015,"12 September, 2025"
2019-06-30,19224,"12 September, 2025"
2019-07-31,17347,"12 September, 2025"
2019-08-31,13437,"12 September, 2025"
2019-09-30,17144,"12 September, 2025"
2019-10-31,16537,"12 September, 2025"
2019-11-30,13613,"12 September, 2025"
2019-12-31,11692,"12 September, 2025"
2020-01-31,13616,"12 September, 2025"
2020-02-29,11935,"12 September, 2025"
2020-03-31,6481,"12 September, 2025"
2020-04-30,368,"12 September, 2025"
2020-05-31,871,"12 September, 2025"
2020-06-30,2240,"12 September, 2025"
2020-07-31,5361,"12 September, 2025"
2020-08-31,5882,"12 September, 2025"
2020-09-30,5142,"12 September, 2025"
2020-10-31,5420,"12 September, 2025"
2020-11-30,1586,"12 September, 2025"
2020-12-31,3060,"12 September, 2025"
2021-01-31,4045,"12 September, 2025"
2021-02-28,4013,"12 September, 2025"
2021-03-31,3663,"12 September, 2025"
2021-04-30,2672,"12 September, 2025"
2021-05-31,4986,"12 September, 2025"
